"10.04.2023","16 ЛЕТ НА РЫНКЕ КАЗАХСТАНА!","","","","","","",""
"","","","","","","","",""
"Код","Артикул","Полное наименование","Доступность
(штук)","Цена
(тенге)","Срок
гарантии","В коробке
(штук)","Фото","Ссылка"
"31778      ","TUF GAMING B650M-PLUS","Материнская плата ASUS TUF GAMING B650M-PLUS AM5 4xDDR5 4xSATA3 RAID 2xM.2 DP HDMI mATX","17","94,870","3 года","10","","Ссылка"
"31686      ","TUF GAMING B650M-PLUS WIFI","Материнская плата ASUS TUF GAMING B650M-PLUS WIFI AM5 4xDDR5 4xSATA3 RAID 2xM.2 DP HDMI mATX","36","104,268","3 года","10","","Ссылка"
"31688      ","TUF GAMING X670E-PLUS","Материнская плата ASUS TUF GAMING X670E-PLUS AM5 4xDDR5 4xSATA3 Raid 4xM.2 HDMI DP ATX","28","142,753","3 года","10","","TUF GAMING X670E-PLUS"
"31668      ","TUF GAMING X670E-PLUS WIFI","Материнская плата ASUS TUF GAMING X670E-PLUS WIFI AM5 4xDDR5 4xSATA3 Raid 4xM.2 HDMI DP ATX","16","146,780","3 года","10","","Ссылка"
"MSI","","","","","","","",""
"Socket 1200 (10,11 серия CPU)","","","","","","","",""
"27839      ","B560M PRO-E","Материнская плата MSI B560M PRO-E LGA1200 iB560 2xDDR4 4xSATA3 1xM.2 VGA HDMI mATX","17","34,010","3 года","10","","Ссылка"
"30363      ","MEG Z590 ACE GOLD EDITION","Материнская плата MSI MEG Z590 ACE GOLD EDITION LGA1200 iZ590 4xDDR4 6xSATA3 RAID 4xM.2 HDMI ATX","1","199,585","3 года","10","","Ссылка"
"Socket 1700 (12 серия CPU)","","","","","","","",""
"30358      ","MPG Z690 CARBON WIFI","Материнская плата MSI MPG Z690 CARBON WIFI LGA1700 iZ690 4xDDR5 6xSATA3 RAID 5xM.2 HDMI DP ATX","12","202,718","3 года","10","","Ссылка"
"Socket 1700 (12,13 серия CPU)","","","","","","","",""
"30376      ","MAG B660M BAZOOKA DDR4","Материнская плата MSI MAG B660M BAZOOKA DDR4 LGA1700 B660 4xDDR4 4xSATA3 2xM.2 HDMI DP mATX","41","62,203","3 года","10","","Ссылка"
"30375      ","MAG B660M MORTAR DDR4","Материнская плата MSI MAG B660M MORTAR DDR4 LGA1700 B660 4xDDR4 6xSATA3 2xM.2 HDMI DP mATX","33","67,573","3 года","10","","Ссылка"
"29397      ","MAG Z690 TOMAHAWK WIFI DDR4","Материнская плата MSI MAG Z690 TOMAHAWK WIFI DDR4 LGA1700 Z690 4xDDR4 6xSATA3 RAID 4xM.2 HDMI DP ATX","37","121,273","3 года","10","","Ссылка"
"29936      ","MAG Z690 TOMAHAWK WIFI","Материнская плата MSI MAG Z690 TOMAHAWK WIFI LGA1700 iZ690 4xDDR5 6xSATA3 RAID 4xM.2 HDMI DP ATX","29","106,058","3 года","10","","Ссылка"
"29935      ","MAG Z690 TORPEDO","Материнская плата MSI MAG Z690 TORPEDO LGA1700 iZ690 4xDDR5 6xSATA3 RAID 4xM.2 HDMI DP ATX","1","109,638","3 года","10","","Ссылка"
"30162      ","MAG Z690M MORTAR WIFI","Материнская плата MSI MAG Z690M MORTAR WIFI LGA1700 iZ690 4xDDR5 6xSATA3 RAID 2xM.2 HDMI DP mATX","15","125,300","3 года","10","","Ссылка"
"29399      ","MEG Z690 ACE","Материнская плата MSI MEG Z690 ACE LGA1700 Z690 4xDDR5 6xSATA3 RAID 5xM.2 E-ATX","1","339,653","3 года","10","","Ссылка"
"30370      ","MEG Z690 UNIFY-X","Материнская плата MSI MEG Z690 UNIFY-X LGA1700 iZ690 4xDDR5 6xSATA3 RAID 5xM.2 SLI CrossFire ATX","5","299,378","3 года","10","","Ссылка"
"30359      ","MPG Z690 CARBON EK X","Материнская плата MSI MPG Z690 CARBON EK X LGA1700 iZ690 4xDDR5 6xSATA3 RAID 5M.2 HDMI DP ATX","2","319,963","3 года","10","","Ссылка"
"30361      ","MPG Z690 EDGE WIFI DDR4","Материнская плата MSI MPG Z690 EDGE WIFI DDR4 LGA1700 iZ690 4xDDR4 6xSATA3 RAID 4M.2 HDMI DP ATX","3","144,543","3 года","10","","Ссылка"
"30371      ","MPG Z690 FORCE WIFI","Материнская плата MSI MPG Z690 FORCE WIFI LGA1700 iZ690 4xDDR5 6xSATA3 RAID 5xM.2 HDMI DP ATX","1","197,795","3 года","10","","Ссылка"
"31543      ","MPG Z790 CARBON WIFI","Материнская плата MSI MPG Z790 CARBON WIFI LGA1700 4xDDR5 6xSATA3 RAID 5M.2 HDMI ATX","5","222,855","3 года","10","","Ссылка"
"31545      ","MPG Z790 EDGE WIFI DDR4","Материнская плата MSI MPG Z790 EDGE WIFI DDR4 LGA1700 4xDDR4 7xSATA3 RAID 5M.2 HDMI DP ATX","5","174,525","3 года","10","","Ссылка"
"31544      ","MPG Z790 EDGE WIFI","Материнская плата MSI MPG Z790 EDGE WIFI LGA1700 4xDDR5 7xSATA3 RAID 5M.2 HDMI DP ATX","50","176,763","3 года","10","","Ссылка"
"31547      ","MAG Z790 TOMAHAWK WIFI","Материнская плата MSI MPG Z790 TOMAHAWK WIFI LGA1700 4xDDR5 7xSATA3 RAID 4M.2 HDMI DP ATX","20","151,255","3 года","10","","Ссылка"
"29941      ","PRO B660M-B DDR4","Материнская плата MSI PRO B660M-B DDR4 LGA1700 B660 2xDDR4 4xSATA3 RAID 1xM.2 VGA HDMI mATX",">50","44,303","3 года","10","","Ссылка"
"29940      ","PRO B660M-G DDR4","Материнская плата MSI PRO B660M-G DDR4 LGA1700 B660 2xDDR4 4xSATA3 RAID 2xM.2 VGA HDMI DP mATX",">50","50,568","3 года","10","","Ссылка"
"31880      ","PRO B760-P WIFI DDR4","Материнская плата MSI PRO B760-P WIFI DDR4 LGA1700 4xDDR4 4xSATA3 RAID 2xM.2 HDMI DP ATX","13","84,354","3 года","10","","Ссылка"
"31954      ","PRO B760M-A WIFI DDR4","Материнская плата MSI PRO B760M-A WIFI DDR4 LGA1700 4xDDR4 4xSATA3 RAID 2xM.2 2xHDMI 2xDP mATX",">50","80,550","3 года","10","","Ссылка"
"31862      ","PRO B760M-E DDR4","Материнская плата MSI PRO B760M-E DDR4 LGA1700 2xDDR4 4xSATA3 M.2 VGA HDMI mATX",">50","53,476","3 года","10","","Ссылка"
"31863      ","PRO B760M-G DDR4","Материнская плата MSI PRO B760M-G DDR4 LGA1700 2xDDR4 4xSATA3 RAID 2xM.2 VGA HDMI DP mATX",">50","61,755","3 года","10","","Ссылка"
"31955      ","PRO B760M-P DDR4","Материнская плата MSI PRO B760M-P DDR4 LGA1700 4xDDR4 4xSATA3 RAID 2xM.2 HDMI DP mATX","29","56,385","3 года","10","","Ссылка"
"29943      ","PRO H610M-G DDR4","Материнская плата MSI PRO H610M-G DDR4 LGA1700 H610 2xDDR4 4xSATA3 M.2 VGA HDMI DP mATX",">50","37,590","3 года","10","","Ссылка"
"29189      ","PRO Z690-A WIFI DDR4","Материнская плата MSI PRO Z690-A WIFI DDR4 LGA1700 Z690 4xDDR4 6xSATA3 RAID 4xM.2 HDMI DP ATX",">50","89,500","3 года","10","","Ссылка"
"29191      ","PRO Z690-A WIFI","Материнская плата MSI PRO Z690-A WIFI LGA1700 Z690 4xDDR5 6xSATA3 RAID 4xM.2 HDMI DP ATX",">50","99,793","3 года","10","","Ссылка"
"31549      ","PRO Z790-A WIFI","Материнская плата MSI PRO Z790-A WIFI LGA1700 4xDDR5 6xSATA3 RAID 4M.2 HDMI DP ATX","10","132,013","3 года","10","","Ссылка"
"Socket AM4","","","","","","","",""
"30388      ","A520M-A PRO","Материнская плата MSI A520M-A PRO AM4 A520 2xDDR4 4xSATA3 RAID 1xM.2 HDMI DVI mATX",">50","24,165","3 года","10","","Ссылка"
"26156      ","B550-A PRO","Материнская плата MSI B550-A PRO AM4 4xDDR4 6xSATA3 2xM.2 HDMI DP ATX","49","55,938","3 года","10","","Ссылка"
"26118      ","B550M PRO-VDH WIFI","Материнская плата MSI B550M PRO-VDH WIFI AM4 4xDDR4 4xSATA3 2xM.2 VGA HDMI DP mATX",">50","46,988","3 года","10","","Ссылка"
"27112      ","MAG B550 TOMAHAWK","Материнская плата MSI MAG B550 TOMAHAWK AM4 B550 4xDDR4 6xSATA3 RAID 2xM.2 HDMI DP ATX",">50","65,335","3 года","10","","Ссылка"
"31562      ","MAG B550 TOMAHAWK MAX WIFI","Материнская плата MSI MAG B550 TOMAHAWK MAX WIFI AM4 B550 4xDDR4 6xSATA3 RAID 2xM.2 HDMI DP ATX",">50","72,495","3 года","10","","Ссылка"
"30386      ","MEG B550 UNIFY-X","Материнская плата MSI MEG B550 UNIFY-X AM4 2xDDR4 6xSATA3 RAID 4xM.2 HDMI ATX","1","137,383","3 года","10","","Ссылка"
"26868      ","MPG B550 GAMING PLUS","Материнская плата MSI MPG B550 GAMING PLUS AM4 4xDDR4 6xSATA3 RAID 2xM.2 HDMI DP ATX",">50","58,623","3 года","10","","Ссылка"
"30384      ","MPG X570S EDGE MAX WIFI","Материнская плата MSI MPG X570S EDGE MAX WIFI AM4 4xDDR4 6xSATA3 RAID 3xM.2 HDMI ATX","1","137,383","3 года","10","","Ссылка"
"31956      ","PRO B550M-P GEN3","Материнская плата MSI PRO B550M-P GEN3 AM4 B550 4xDDR4 4xSATA3 RAID M.2 VGA HDMI DVI mATX","10","41,841","3 года","10","","Ссылка"
"Socket AM5","","","","","","","",""
"31127      ","MEG X670E ACE","Материнская плата MSI MEG X670E ACE AM5 X670 4xDDR5 6xSATA3 RAID 4xM.2 USB 3.2 Gen 2 EATX","3","384,850","3 года","10","","MEG X670E ACE"
"31124      ","MEG X670E GODLIKE","Материнская плата MSI MEG X670E GODLIKE AM5 X670 4xDDR5 8xSATA3 RAID 4xM.2 2xUSB 3.2 Gen 2 EATX","2","711,525","3 года","10","","MEG X670E GODLIKE"
"31126      ","PRO X670-P WIFI","Материнская плата MSI PRO X670-P WIFI AM5 X670 4xDDR5 6xSATA3 RAID 4xM.2 HDMI DP ATX","10","158,863","3 года","10","","Ссылка"
"Оперативная память RAM","","","","","","","",""
"Оперативная память Crucial - мировой лидер в производстве чипов","","","","","","","",""
"DDR3","","","","","","","",""
"17688      ","CT25664BD160B","Оперативная память 2Gb DDR3L 1600MHz Crucial CT25664BD160B 240-pin UDIMM PC3-12800 1,35V CL11","17","4,475","lifetime","50","","Ссылка"
"DDR4","","","","","","","",""
"30189      ","CB8GU2666","Оперативная память  8GB DDR4 2666 MHz Crucial Basics PC4-21300 Unbuffered NON-ECC 1.2V CB8GU2666",">50","8,905","lifetime","50","","CB8GU2666"
"24555      ","BL2K4G24C16U4B","Оперативная память  8GB KIT (2x4Gb) DDR4 2400MHz Crucial Ballistix PC4-19200 1.2V UDIMM 288pin BL2K4G24C16U4B","1","11,188","lifetime","10","","Ссылка"
"DDR5","","","","","","","",""
"30269      ","CT16G48C40U5","Оперативная память 16GB DDR5 4800 MHz Crucial PC5-38400 Unbuffered NON-ECC 1.1V CT16G48C40U5",">50","25,821","lifetime","25","","Ссылка"
"Оперативная память PNY","","","","","","","",""
"DDR4","","","","","","","",""
"29384      ","MD16GK2D4400018XRGB","Оперативная память 16GB Kit(2x8Gb) DDR4 4000MHz PNY XLR8 Gaming EPIC-X RGB PC4-32000 18-20-20-40 1.35V MD16GK2D4400018XRGB","1","49,225","lifetime","10","","Ссылка"
"29385      ","MD16GK2D4420019XRGB","Оперативная память 16GB Kit(2x8Gb) DDR4 4200MHz PNY XLR8 Gaming EPIC-X RGB PC4-33600 19-22-22-42 1.35V MD16GK2D4420019XRGB","3","51,910","lifetime","10","","Ссылка"
"29387      ","MD16GK2D4460019XRGB","Оперативная память 16GB Kit(2x8Gb) DDR4 4600MHz PNY XLR8 Gaming EPIC-X RGB PC4-36800 19-26-26-46 1.35V MD16GK2D4460019XRGB","6","60,413","lifetime","10","","Ссылка"
"29378      ","MN16GSD42666BL","Оперативная память для ноутбука 16GB DDR4 2666MHz PNY PC4-21300 19-19-19-43 1.2V MN16GSD42666BL","1","26,850","lifetime","25","","MN16GSD42666BL"
"Оперативная память Team Group","","","","","","","",""
"DDR3","","","","","","","",""
"31016      ","TED34G1333C9-S01","Оперативная память для ноутбука  4GB DDR3 1333Mhz Team Group ELITE PC3-10600 CL9 SO-DIMM TED34G1333C9-S01","9","4,699","lifetime","50","","TED34G1333C9-S01"
"30327      ","TED34G1600C11-S01","Оперативная память для ноутбука  4GB DDR3 1600Mhz Team Group ELITE PC3-12800 CL11 SO-DIMM TED34G1600C11-S01","1","4,699","lifetime","50","","TED34G1600C11-S01"
"31022      ","TED3L4G1333C9-S01","Оперативная память для ноутбука  4GB DDR3L 1333Mhz Team Group ELITE PC3-10600 CL9 SO-DIMM 1.35V TED3L4G1333C9-S01",">50","4,699","lifetime","50","","TED3L4G1333C9-S01"
"31025      ","TED3L4G1600C11-S01","Оперативная память для ноутбука  4GB DDR3L 1600Mhz Team Group ELITE PC3-12800 CL11 SO-DIMM 1.35V TED3L4G1600C11-S01","1","4,699","lifetime","50","","TED3L4G1600C11-S01"
"30328      ","TED38G1600C11-S01","Оперативная память для ноутбука  8GB DDR3 1600Mhz Team Group ELITE PC3-12800 CL11 SO-DIMM TED38G1600C11-S01","1","8,503","lifetime","50","","TED38G1600C11-S01"
"31023      ","TED3L8G1333C9-S01","Оперативная память для ноутбука  8GB DDR3L 1333Mhz Team Group ELITE PC3-10600 CL9 SO-DIMM 1.35V TED3L8G1333C9-S01","43","8,503","lifetime","50","","TED3L8G1333C9-S01"
"DDR4","","","","","","","",""
"30322      ","TED44G2666C1901","Оперативная память  4GB 2666MHz DDR4 Team Group ELITE PC4-21300 CL19 TED44G2666C1901",">50","5,146","lifetime","50","","Ссылка"
"32013      ","TED44G3200C2202","Оперативная память  4GB 3200MHz DDR4 Team Group ELITE PC4-21300 CL22 TED44G3200C2202",">50","5,370","lifetime","50","","Ссылка"
"30729      ","TED44G3200C2201","Оперативная память  4GB 3200MHz DDR4 Team Group ELITE PC4-25600 CL22 TED44G3200C2201",">50","5,370","lifetime","50","","TED44G3200C2201"
"30323      ","TED48G2666C1901","Оперативная память  8GB 2666MHz DDR4 Team Group ELITE PC4-21300 CL19 TED48G2666C1901",">50","7,831","lifetime","50","","Ссылка"
"30329      ","TED48G2666C19016","Оперативная память  8GB 2666MHz DDR4 Team Group ELITE PC4-21300 CL19 TED48G2666C19016","2","7,966","lifetime","50","","TED48G2666C19016"
"30331      ","TED48G3200C2201","Оперативная память  8GB 3200MHz DDR4 Team Group ELITE PC4-25600 CL22 TED48G3200C2201",">50","7,831","lifetime","50","","Ссылка"
"30332      ","TED48G3200C22016","Оперативная память  8GB 3200MHz DDR4 Team Group ELITE PC4-25600 CL22 TED48G3200C22016","6","7,876","lifetime","50","","Ссылка"
"32016      ","TED48G3200C2202","Оперативная память  8GB 3200MHz DDR4 Team Group ELITE PC4-25600 CL22 TED48G3200C2202",">50","8,055","lifetime","50","","Ссылка"
"30330      ","TED416G2666C1901","Оперативная память 16GB 2666MHz DDR4 Team Group ELITE PC4-21300 CL19 TED416G2666C1901","1","14,902","lifetime","50","","TED416G2666C1901"
"31041      ","TF3D416G3200HC16F01","Оперативная память 16GB 3200MHz DDR4 Team Group  DELTA RGB PC-25600 CL16 16-20-20-40 1.35V TF3D416G3200HC16F01 Black","3","21,928","lifetime","50","","Ссылка"
"32005      ","TED416G3200C2202","Оперативная память 16GB 3200MHz DDR4 Team Group ELITE PC4-25600 CL22 TED416G3200C2202",">50","14,902","lifetime","50","","Ссылка"
"31043      ","TF3D416G3600HC18J01","Оперативная память 16GB 3600MHz DDR4 Team Group  DELTA RGB PC-28800 CL18 1.35V TF3D416G3600HC18J01 Black","5","24,613","lifetime","50","","Ссылка"
"32199      ","TED416G2666C19DC01","Оперативная память  16Gb Kit (2x8Gb) 2666MHz DDR4 Team Group ELITE PC4-21300 CL19 TED416G2666C19DC01","18","16,781","lifetime","50","","TED416G2666C19DC01"
"32034      ","TED416G3200C22DC01","Оперативная память 16GB Kit (2x8GB) 3200MHz DDR4 Team Group ELITE PC4-25600 CL22 1.2V TED416G3200C22DC01","20","16,781","lifetime","50","","Ссылка"
"32006      ","TED416G3200C22DC02","Оперативная память 16GB Kit (2x8GB) 3200MHz DDR4 Team Group ELITE PC4-25600 CL22 TED416G3200C22DC02","20","16,781","lifetime","50","","Ссылка"
"32041      ","TF9D416G3600HC18JDC01","Оперативная память 16GB Kit (2x8GB) 3600MHz DDR4 Team Group DELTA TUF RGB PC-28800 CL18 1.35V TF9D416G3600HC18JDC01 Black","7","23,941","lifetime","50","","Ссылка"
"32028      ","TF10D416G4533HC18LDC01","Оперативная память 16GB Kit (2x8GB) 4533MHz DDR4 Team Group XTREEM ARGB PC4-36400 CL-18 TF10D416G4533HC18LDC01","8","58,175","lifetime","50","","Ссылка"
"32029      ","TF10D416G5333HC22ADC01","Оперативная память 16GB Kit (2x8GB) 5333MHz DDR4 Team Group XTREEM ARGB PC4-42700 CL-22 TF10D416G5333HC22ADC01","3","116,350","lifetime","50","","Ссылка"
"31052      ","TED432G2666C1901","Оперативная память 32GB 2666MHz DDR4 Team Group ELITE PC4-21300 CL19 TED432G2666C1901","10","32,220","lifetime","50","","TED432G2666C1901"
"31046      ","TF3D432G3200HC16F01","Оперативная память 32GB 3200MHz DDR4 Team Group  DELTA RGB PC-25600 CL16 1.35V TF3D432G3200HC16F01 Black","3","46,093","lifetime","50","","Ссылка"
"31047      ","TF4D432G3200HC16F01","Оперативная память 32GB 3200MHz DDR4 Team Group  DELTA RGB PC-25600 CL16 1.35V TF4D432G3200HC16F01 White","2","46,093","lifetime","50","","Ссылка"
"30334      ","TED432G3200C2201","Оперативная память 32GB 3200MHz DDR4 Team Group ELITE PC4-25600 CL22 TED432G3200C2201","16","32,220","lifetime","50","","Ссылка"
"32010      ","TED432G3200C2202","Оперативная память 32GB 3200MHz DDR4 Team Group ELITE PC4-25600 CL22 TED432G3200C2202","19","32,220","lifetime","50","","Ссылка"
"31048      ","TF3D432G3600HC18J01","Оперативная память 32GB 3600MHz DDR4 Team Group DELTA RGB PC-28800 CL18 1.35V TF3D432G3600HC18F01 Black","3","46,093","lifetime","50","","Ссылка"
"32008      ","TED432G2666C19DC01","Оперативная память 32GB Kit (2x16GB) 2666MHz DDR4 Team Group ELITE PC4-21300 CL19 TED432G2666C19DC01","24","32,220","lifetime","50","","TED432G2666C19DC01"
"30731      ","TF3D432G3200HC16FDC01","Оперативная память 32GB Kit (2x16GB) 3200MHz DDR4 Team Group  DELTA RGB PC-25600 CL16 1.35V TF3D432G3200HC16FDC01 Black","12","49,225","lifetime","50","","Ссылка"
"31031      ","TED432G3200C22DC01","Оперативная память  32Gb Kit (2x16Gb) 3200MHz DDR4 Team Group ELITE PC4-25600 CL22 TED432G3200C22DC01","19","32,220","lifetime","50","","TED432G3200C22DC01"
"32011      ","TED432G3200C22DC02","Оперативная память 32GB Kit (2x16GB) 3200MHz DDR4 Team Group ELITE PC4-25600 CL22 TED432G3200C22DC02","17","32,220","lifetime","50","","Ссылка"
"30734      ","TF3D432G3600HC18JDC01","Оперативная память 32GB Kit (2x16GB) 3600MHz DDR4 Team Group  DELTA RGB PC-28800 CL22 1.35V TF3D432G3600HC18JDC01 Black","11","50,568","lifetime","50","","Ссылка"
"32042      ","TF9D432G3600HC18JDC01","Оперативная память 32GB Kit (2x16GB) 3600MHz DDR4 Team Group DELTA TUF RGB PC-28800 CL18 1.35V TF9D432G3600HC18JDC01 Black","19","44,303","lifetime","50","","Ссылка"
"30732      ","TF3D464G3200HC16FDC01","Оперативная память 64GB Kit (2x32GB) 3200MHz DDR4 Team Group  DELTA RGB PC-25600 CL16 1.35V TF3D464G3200HC16FDC01 Black","3","93,975","lifetime","50","","Ссылка"
"31032      ","TED464G3200C22DC01","Оперативная память  64Gb Kit (2x32Gb) 3200MHz DDR4 Team Group ELITE PC4-25600 CL22 TED464G3200C22DC01","18","64,888","lifetime","50","","Ссылка"
"32014      ","TED464G3200C22DC02","Оперативная память 64Gb Kit (2x32Gb) 3200MHz DDR4 Team Group ELITE PC4-25600 CL22 TED464G3200C22DC02","25","64,888","lifetime","50","","Ссылка"
"30735      ","TF3D464G3600HC18JDC01","Оперативная память 64GB Kit (2x32GB) 3600MHz DDR4 Team Group  DELTA RGB PC-25600 CL22 1.35V TF3D464G3600HC18JDC01 Black","3","96,213","lifetime","50","","Ссылка"
"31033      ","TED44G2133C15-S01","Оперативная память для ноутбука  4GB DDR4 2133Mhz Team Group ELITE PC4-17000 CL15 SO-DIMM TED44G2133C15-S01","42","6,265","lifetime","50","","Ссылка"
"30335      ","TED44G2666C19-S01","Оперативная память для ноутбука  4GB DDR4 2666Mhz Team Group ELITE PC4-21300 CL19 SO-DIMM TED44G2666C19-S01","21","5,818","lifetime","50","","Ссылка"
"31036      ","TED48G2400C16-S01","Оперативная память для ноутбука  8GB DDR4 2400Mhz Team Group ELITE PC4-19200 CL16 SO-DIMM TED48G2400C16-S01","17","9,398","lifetime","50","","Ссылка"
"31037      ","TED416G2400C16-S01","Оперативная память для ноутбука  16GB DDR4 2400Mhz Team Group ELITE PC4-19200 CL16 SO-DIMM TED416G2400C16-S01","13","15,663","lifetime","50","","Ссылка"
